Time (s): 0
10000	pip2: 1. 
177	ap2: 1. 
192	clat: 1. 
Time (s): 1.5
9845	pip2: 1. 
154	ap2: 1. pip2: 1. 
22	ap2: 1. 
175	clat: 1. 
8	clat: 2. 
1	ap2: 1. clat: 1. pip2: 1. 
Time (s): 3
9843	pip2: 1. 
156	ap2: 1. pip2: 1. 
171	clat: 1. 
20	ap2: 1. 
10	clat: 2. 
1	ap2: 1. clat: 1. pip2: 1. 
Time (s): 4.5
9831	pip2: 1. 
168	ap2: 1. pip2: 1. 
8	ap2: 1. 
173	clat: 1. 
9	clat: 2. 
1	ap2: 1. clat: 1. pip2: 1. 
Time (s): 6
9843	pip2: 1. 
157	ap2: 1. pip2: 1. 
163	clat: 1. 
19	ap2: 1. 
1	ap2: 1. clat: 3. 
13	clat: 2. 
Time (s): 7.5
9843	pip2: 1. 
19	ap2: 1. 
156	ap2: 1. pip2: 1. 
11	clat: 2. 
163	clat: 1. 
1	clat: 3. 
1	ap2: 1. clat: 2. pip2: 1. 
1	ap2: 1. clat: 2. 
Time (s): 9
9842	pip2: 1. 
156	ap2: 1. pip2: 1. 
18	ap2: 1. 
184	clat: 1. 
1	ap2: 1. clat: 1. 
1	ap2: 1. clat: 2. pip2: 1. 
2	clat: 2. 
1	ap2: 1. clat: 1. pip2: 1. 
Time (s): 10.5
9842	pip2: 1. 
154	ap2: 1. pip2: 1. 
175	clat: 1. 
19	ap2: 1. 
3	ap2: 1. clat: 1. pip2: 1. 
6	clat: 2. 
1	ap2: 1. clat: 2. pip2: 1. 
Time (s): 12
9834	pip2: 1. 
161	ap2: 1. pip2: 1. 
165	clat: 1. 
11	ap2: 1. 
1	ap2: 1. clat: 1. pip2: 1. 
10	clat: 2. 
2	ap2: 1. clat: 2. pip2: 1. 
1	ap2: 2. clat: 2. pip2: 2. 
Time (s): 13.5
9839	pip2: 1. 
156	ap2: 1. pip2: 1. 
16	ap2: 1. 
180	clat: 1. 
3	ap2: 1. clat: 2. pip2: 1. 
2	ap2: 1. clat: 1. pip2: 1. 
2	clat: 2. 
Time (s): 15
9841	pip2: 1. 
155	ap2: 1. pip2: 1. 
173	clat: 1. 
18	ap2: 1. 
6	clat: 2. 
1	ap2: 1. clat: 1. pip2: 1. 
3	ap2: 1. clat: 2. pip2: 1. 
