Time (s): 0
200	A: 1. 
Time (s): 0.005
24	A: 2. 
10	A: 1. 
22	A: 4. 
18	A: 3. 
Time (s): 0.01
4	A: 1. 
21	A: 8. 
22	A: 4. 
22	A: 3. 
Time (s): 0.015
1	A: 1. 
17	A: 2. 
24	A: 6. 
23	A: 3. 
Time (s): 0.02
12	A: 2. 
26	A: 14. 
24	A: 3. 
Time (s): 0.025
10	A: 2. 
27	A: 4. 
24	A: 13. 
Time (s): 0.03
10	A: 2. 
27	A: 4. 
24	A: 18. 
Time (s): 0.035
1	A: 1. 
8	A: 22. 
27	A: 4. 
25	A: 3. 
Time (s): 0.04
8	A: 2. 
28	A: 24. 
24	A: 3. 
Time (s): 0.045
6	A: 2. 
29	A: 24. 
24	A: 3. 
Time (s): 0.0499995
6	A: 2. 
29	A: 4. 
24	A: 38. 
