time (s): 0
time (s): 0.005
3D dimers: 68
3D n=1: 56
3D n=2: 4
time (s): 0.01
3D dimers: 71
3D n=1: 62
3D n=2: 6
time (s): 0.015
3D dimers: 71
3D n=1: 65
3D n=2: 7
time (s): 0.02
3D dimers: 73
3D n=1: 65
3D n=2: 8
time (s): 0.025
3D dimers: 74
3D n=1: 65
3D n=2: 9
time (s): 0.03
3D dimers: 74
3D n=1: 65
3D n=2: 10
time (s): 0.035
3D dimers: 75
3D n=1: 66
3D n=2: 10
time (s): 0.04
3D dimers: 75
3D n=1: 67
3D n=2: 10
time (s): 0.045
3D dimers: 76
3D n=1: 67
3D n=2: 10
time (s): 0.0499995
3D dimers: 76
3D n=1: 68
3D n=2: 10
